DN,objectClass,cn,description,distinguishedName,instanceType,whenCreated,whenChanged,uSNCreated,memberOf,uSNChanged,name,objectGUID,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,objectSid,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,managedObjects,objectCategory,isCriticalSystemObject,dSCorePropagationData,lastLogonTimestamp,localPolicyFlags,location,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,managedBy,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDFSR-ComputerReferenceBL,showInAdvancedViewOnly,sn,title,physicalDeliveryOfficeName,telephoneNumber,givenName,displayName,department,company,directReports,homeDirectory,homeDrive,userWorkstations,profilePath,userPrincipalName,manager
"CN=Administrator,CN=Users,DC=PoliForma,DC=nl",user,Administrator,Built-in account for administering the computer/domain,"CN=Administrator,CN=Users,DC=PoliForma,DC=nl",4,20120906150549.0Z,20151026175724.0Z,8196,"CN=Group Policy Creator Owners,CN=Users,DC=PoliForma,DC=nl;CN=Domain Admins,CN=Users,DC=PoliForma,DC=nl;CN=Enterprise Admins,CN=Users,DC=PoliForma,DC=nl;CN=Schema Admins,CN=Users,DC=PoliForma,DC=nl;CN=Administrators,CN=Builtin,DC=PoliForma,DC=nl",266314,Administrator,X'4488c7b3ffc3ac4eb4851bdcee9d6044',66048,0,0,0,1.30909E+17,0,1.30913E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29914E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c78f4010000',1,0,112,Administrator,805306368,"CN=PFWS1,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=PFSV1,OU=Domain Controllers,DC=PoliForma,DC=nl","CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",TRUE,20120906152201.0Z;20120906150650.0Z;16010101000416.0Z,1.30904E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=Guest,CN=Users,DC=PoliForma,DC=nl",user,Guest,Built-in account for guest access to the computer/domain,"CN=Guest,CN=Users,DC=PoliForma,DC=nl",4,20120906150549.0Z,20120906150549.0Z,8197,"CN=Guests,CN=Builtin,DC=PoliForma,DC=nl",8197,Guest,X'51dc7f699cd2e8479a6883cb5e0aaa69',66082,0,0,0,0,0,0,,0,514,X'010500000000000515000000ea9d6142e4e55d3665447c78f5010000',,9.22337E+18,0,Guest,805306368,,"CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",TRUE,20120906150650.0Z;16010101000001.0Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CN=krbtgt,CN=Users,DC=PoliForma,DC=nl",user,krbtgt,Key Distribution Center Service Account,"CN=krbtgt,CN=Users,DC=PoliForma,DC=nl",4,20120906150650.0Z,20120906152201.0Z,12324,"CN=Denied RODC Password Replication Group,CN=Users,DC=PoliForma,DC=nl",12726,krbtgt,X'd74e18f608f27d4a87264bcaaeb0fc8a',514,0,0,0,0,0,0,,1.29914E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c78f6010000',1,9.22337E+18,0,krbtgt,805306368,,"CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",TRUE,20120906152201.0Z;20120906150650.0Z;16010101000416.0Z,,,,,,,,,,kadmin/changepw,0,,TRUE,,,,,,,,,,,,,,,
"CN=Madelief Smets,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Madelief Smets,Directeur,"CN=Madelief Smets,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910101306.0Z,20121202153601.0Z,65582,"CN=Directie,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",127021,Madelief Smets,X'7e6a4ada4ede8a41aaccc5059fa3cbed',66048,1,0,0,1.30057E+17,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29917E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c7854040000',,9.22337E+18,12,Mad_Sme,805306368,"CN=Directie,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl;OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl","CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,16010101000000.0Z,1.29989E+17,,,,,,,,,,,,,Smets,Directeur,B02,4101,Madelief,Madelief Smets,Directie,PoliForma BV,"CN=Danique Voss,OU=Staf,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Dick Brinkman,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Teus de Jong,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Henk Pell,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Jolanda Brands,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",\\\\PFSV1\\UserFolders\\Mad_Sme,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Mad_Sme,Mad_Sme@PoliForma.nl,
"CN=Jolanda Brands,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Jolanda Brands,Adjunct Automatisering,"CN=Jolanda Brands,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910124305.0Z,20121129164315.0Z,65661,"CN=Automatisering,OU=Automatisering,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Directie,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Account Operators,CN=Builtin,DC=PoliForma,DC=nl;CN=Server Operators,CN=Builtin,DC=PoliForma,DC=nl;CN=Backup Operators,CN=Builtin,DC=PoliForma,DC=nl;CN=Print Operators,CN=Builtin,DC=PoliForma,DC=nl",102673,Jolanda Brands,X'dcee0030bcd8374f905b418f11c17469',66048,0,0,0,0,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c7855040000',1,9.22337E+18,9,Jol_Bra,805306368,"CN=Automatisering,OU=Automatisering,OU=PFAfdelingen,DC=PoliForma,DC=nl;OU=Automatisering,OU=PFAfdelingen,DC=PoliForma,DC=nl","CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20121129164315.0Z;20120910125006.0Z;20120910124939.0Z;16010101000000.0Z,1.29987E+17,,,,,,,,,,,,,Brands,Adjunct-directeur,B20,4111,Jolanda,Jolanda Brands,Automatisering,PoliForma BV,"CN=Jan Smets,OU=Automatisering,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Fons Willemsen,OU=Automatisering,OU=PFAfdelingen,DC=PoliForma,DC=nl",\\\\PFSV1\\UserFolders\\Jol_Bra,Z:,,,Jol_Bra@PoliForma.nl,"CN=Madelief Smets,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Henk Pell,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Henk Pell,Adjunct Verkoop,"CN=Henk Pell,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910125126.0Z,20121202154103.0Z,65680,"CN=Verkoop,OU=Verkoop,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Directie,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",127032,Henk Pell,X'469078e98621574aa549c085bb448d5b',66048,0,0,0,0,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c7856040000',,9.22337E+18,2,Hen_Pel,805306368,"CN=Verkoop,OU=Verkoop,OU=PFAfdelingen,DC=PoliForma,DC=nl;OU=Verkoop,OU=PFAfdelingen,DC=PoliForma,DC=nl","CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,16010101000000.0Z,1.29989E+17,,,,,,,,,,,,,Pell,Adjunct-directeur,B17,4131,Henk,Henk Pell,Verkoop,PoliForma BV,"CN=Wiel Nouwen,OU=Verkoop,OU=PFAfdelingen,DC=PoliForma,DC=nl",\\\\PFSV1\\UserFolders\\Hen_Pel,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Hen_Pel,Hen_Pel@PoliForma.nl,"CN=Madelief Smets,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Teus de Jong,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Teus de Jong,Adjunct Administratie,"CN=Teus de Jong,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910125341.0Z,20121202105206.0Z,65690,"CN=Administratie,OU=Administratie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Directie,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",118859,Teus de Jong,X'22b98c64cd618045b8c0dfea3ecef638',66048,0,0,0,0,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c7857040000',,9.22337E+18,7,Teu_Jon,805306368,"CN=Administratie,OU=Administratie,OU=PFAfdelingen,DC=PoliForma,DC=nl;OU=Administratie,OU=PFAfdelingen,DC=PoliForma,DC=nl","CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,16010101000000.0Z,1.29989E+17,,,,,,,,,,,,,de Jong,Adjunct-directeur,B09,4087,Teus,Teus de Jong,Administratie,PoliForma BV,"CN=Dirk Bogert,OU=Administratie,OU=PFAfdelingen,DC=PoliForma,DC=nl",\\\\PFSV1\\UserFolders\\Teu_Jon,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Teu_Jon,Teu_Jon@PoliForma.nl,"CN=Madelief Smets,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Dick Brinkman,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Dick Brinkman,Adjunct Productie,"CN=Dick Brinkman,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910125534.0Z,20121202114630.0Z,65700,"CN=Productie,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Directie,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl",118971,Dick Brinkman,X'fe330193003c2b45abf6f8396b81909d',66048,0,0,0,0,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c7858040000',,9.22337E+18,5,Dic_Bri,805306368,"CN=Productie,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl;OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl","CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,16010101000000.0Z,1.29989E+17,,,,,,,,,,,,,Brinkman,Adjunct Productie,B05,4612,Dick,Dick Brinkman,Productie,PoliForma BV,"CN=Peter Carprieaux,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Doortje Heijnen,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Herman Bommel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Karin Visse,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",\\\\PFSV1\\UserFolders\\Dic_Bri,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Dic_Bri,Dic_Bri@PoliForma.nl,"CN=Madelief Smets,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Danique Voss,OU=Staf,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Danique Voss,Hoofd Staf,"CN=Danique Voss,OU=Staf,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910131856.0Z,20121129121429.0Z,65714,"CN=Staf,OU=Staf,OU=PFAfdelingen,DC=PoliForma,DC=nl",102491,Danique Voss,X'a50a73233712ff428a61fb09ab9d2d08',66048,0,0,0,0,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c7859040000',,9.22337E+18,4,Dan_Vos,805306368,"CN=Staf,OU=Staf,OU=PFAfdelingen,DC=PoliForma,DC=nl;OU=Staf,OU=PFAfdelingen,DC=PoliForma,DC=nl","CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20120910131903.0Z;16010101000000.0Z,1.29987E+17,,,,,,,,,,,,,Voss,Hoofd,B03,4003,Danique,Danique Voss,Staf,PoliForma BV,"CN=Loes Heijnen,OU=Staf,OU=PFAfdelingen,DC=PoliForma,DC=nl",\\\\PFSV1\\UserFolders\\Dan_Vos,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Dan_Vos,Dan_Vos@PoliForma.nl,"CN=Madelief Smets,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Loes Heijnen,OU=Staf,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Loes Heijnen,Receptioniste/Telefoniste,"CN=Loes Heijnen,OU=Staf,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910132053.0Z,20151025110000.0Z,65725,"CN=Staf,OU=Staf,OU=PFAfdelingen,DC=PoliForma,DC=nl",241793,Loes Heijnen,X'f60db69a59c4e148b764da292c354c95',512,0,0,0,1.30902E+17,0,1.30902E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.30902E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c785a040000',,9.22337E+18,16,Loe_Hei,805306368,,"CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20120910132219.0Z;16010101000000.0Z,1.30902E+17,,,,,,,,,,0,,,Heijnen,Medewerker,B04,4001,Loes,Loes Heijnen,Staf,PoliForma BV,,\\\\PFSV1\\UserFolders\\Loe_Hei,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Loe_Hei,Loe_Hei@PoliForma.nl,"CN=Danique Voss,OU=Staf,OU=PFAfdelingen,DC=PoliForma,DC=nl"
